Mass,RT,FORMULA,Isomers,Label,Confidence,Standard,Category
247.14192,7.104663805,C11H21NO5,1,Hydroxybutyrylcarnitine,9,TRUE,
224.079612,8.046800012,C10H12N2O4,4,Hydroxykynurenine,10,TRUE,
109.0196921,9.959332661,C2H7NO2S,1,Hypotaurine,10,TRUE,
136.0383933,6.099487124,C5H4N4O,4,Hypoxanthine,10,TRUE,
126.0428725,7.351332256,C5H6N2O2,3,Imidazoleacetic acid,8,TRUE,
268.0806329,6.628497755,C10H12N4O5,3,Inosine,10,TRUE,
348.0470291,11.15791777,C10H13N4O8P,3,Inosinic acid,10,TRUE,
179.0444205,8.988461267,C6H5N5O2,3,Isoxanthopterin,7,TRUE,
208.0847795,6.624383315,C10H12N2O3,3,Kynurenine,10,TRUE,
90.03165728,5.811430129,C3H6O3,9,Lactic acid,10,TRUE,Sugar
131.0945288,6.600976825,C6H13NO2,14,Leucine,10,TRUE,AA
146.1055256,18.01165588,C6H14N2O2,6,Lysine,10,TRUE,AA
134.0214898,11.64199895,C4H6O5,5,Malic acid,10,TRUE,TCA
104.0109398,11.16182701,C3H4O4,3,Malonic acid,8,TRUE,
149.0510999,7.168469536,C5H11NO2S,3,Methionine,10,TRUE,AA
165.0459622,8.873516157,C5H11NO3S,2,Methionine sulfoxide,8,TRUE,
181.0408436,7.519070715,C5H11NO4S,2,MetOO,9,TRUE,
160.1211566,16.97472377,C7H16N2O2,6,N(6)-Methyllysine,8,TRUE,
188.15246,16.03041352,C9H20N2O2,2,"N6,N6,N6-Trimethyl-L-lysine",10,TRUE,
188.1161174,8.330531754,C8H16N2O3,10,N6-Acetyl-L-lysine,10,TRUE,
216.1222129,9.86304295,C8H16N4O3,1,N-a-Acetyl-L-arginine,9,TRUE,
189.0637639,10.03680482,C7H11NO5,5,N-Acetylglutamic acid,10,TRUE,
188.0795868,6.624259046,C7H12N2O4,2,N-Acetylglutamine,7,TRUE,
197.0800305,6.288446767,C8H11N3O3,2,N-Acetylhistidine,9,TRUE,
175.0481115,10.41641127,C6H9NO5,4,N-Acetyl-L-aspartic acid,10,TRUE,
130.1105349,13.29191566,C6H14N2O,2,N-Acetylputrescine,8,TRUE,
663.1097002,9.929751657,C21H27N7O14P2,2,NAD,10,TRUE,
665.1253711,9.39051433,C21H29N7O14P2,3,NADH,10,TRUE,
743.0763023,12.93626785,C21H28N7O17P3,2,NADP,8,TRUE,
188.1160955,10.18721612,C8H16N2O3,10,N-Alpha-acetyllysine,8,TRUE,
174.1367896,15.33138723,C8H18N2O2,1,"Ne,Ne dimethyllysine",9,TRUE,
147.0531497,6.833034901,C5H9NO4,12,O-Acetylserine,10,TRUE,
141.0190864,11.37117442,C2H8NO4P,2,O-Phosphoethanolamine,10,TRUE,
199.0246344,11.65059586,C4H10NO6P,3,O-Phosphothreonine,8,TRUE,
289.1274179,9.175901672,C11H19N3O6,6,Ophthalmic acid,7,TRUE,
132.0898466,16.91265049,C5H12N2O2,4,Ornithine,10,TRUE,
156.0171156,6.168859699,C5H4N2O4,2,Orotic acid,8,TRUE,
